1,26,17,4,1900,false,spring,fall
2,1,1,1,1901,false,winter,summer
3,1,1,1,1902,false,winter,summer
4,1,9,3,1902,true,winter,fall
5,22,21,5,1902,false,spring,fall
6,1,1,1,1903,false,winter,summer
7,29,18,4,1903,false,spring,fall
8,1,53,1,1904,false,winter,summer
9,1,36,9,1992,false,summer,spring
10,17,29,7,1995,false,summer,winter
11,28,9,2,1903,true,winter,summer
12,19,16,4,1904,false,spring,fall
13,24,16,4,1904,true,spring,fall
14,15,7,2,1905,false,winter,summer
15,17,7,2,1905,false,winter,summer
16,13,32,8,1905,true,summer,winter
17,1,1,1,1906,false,winter,summer
18,29,35,8,1907,false,summer,winter
19,26,17,4,1908,true,spring,fall
20,1,31,8,1908,true,summer,winter
21,3,32,8,1908,false,summer,winter
22,4,1,1,1909,false,winter,summer
23,28,47,11,1909,true,fall,spring
24,1,52,1,1910,true,winter,summer
25,21,3,1,1910,false,winter,summer
26,5,9,3,1910,true,winter,fall
27,15,15,4,1910,false,spring,fall
28,18,16,4,1910,false,spring,fall
29,11,28,7,1911,false,summer,winter
30,30,26,6,1912,true,summer,winter
31,8,28,7,1912,false,summer,winter
32,10,28,7,1912,false,summer,winter
33,7,45,11,1913,false,fall,spring
34,13,46,11,1913,false,fall,spring
35,1,1,1,1914,false,winter,summer
36,1,14,4,1914,false,spring,fall
37,28,22,5,1914,false,spring,fall
38,19,25,6,1914,false,spring,winter
39,1,53,1,1915,false,winter,summer
40,1,5,2,1915,false,winter,summer
41,22,12,3,1915,false,spring,fall
42,8,27,7,1915,false,summer,winter
43,9,27,7,1915,false,summer,winter
44,3,5,2,1916,false,winter,summer
45,24,17,4,1916,false,spring,fall
46,29,30,7,1916,true,summer,winter
47,11,37,9,1916,false,summer,spring
48,1,1,1,1917,false,winter,summer
49,25,30,7,1917,false,summer,winter
50,28,43,10,1917,true,fall,spring
51,19,47,11,1917,false,fall,spring
52,6,49,12,1917,false,fall,summer
53,1,1,1,1918,false,winter,summer
54,1,1,1,1925,false,winter,summer
55,31,1,12,1918,false,winter,summer
56,23,4,1,1918,false,winter,summer
57,12,41,10,1918,true,fall,spring
58,23,43,10,1918,false,fall,spring
59,1,1,1,1919,false,winter,summer
60,31,1,12,1919,false,winter,summer
61,1,1,1,1920,false,winter,summer
62,31,53,12,1920,false,winter,summer
63,17,12,3,1920,false,winter,fall
64,21,12,3,1920,true,spring,fall
65,22,30,7,1920,false,summer,winter
66,1,14,4,1986,false,spring,fall
67,30,27,6,1986,false,summer,winter
